"Qty";"Value";"Device";"Package";"Parts";"Description";"BUILT_BY";"CENTROID_NOT_SPECIFIED";"COLOUR";"COPYRIGHT";"DATASHEET";"DESCRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"FORWARD_CURRENT";"FORWARD_VOLTAGE";"HEIGHT";"LEAD_FREE";"LED_ORIENTATION";"LUMINOUS_INTENSITY";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAX_JUNCTION_TEMP";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"PACKAGE";"POPULARITY";"POWER_DISSIPATION";"PREFIX";"REVERSE_VOLTAGE";"ROHS";"SPICEPREFIX";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TP_SIGNAL_NAME";"VENDOR";"VERIFICATION_VERSION";"VIEWING_ANGLE";"WAVELENGTH";
"1";"";"PINHD-2X10";"2X10";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"";"SCHOTTKY-DIODESMC";"SMC";"D1, D2, D3";"Schottky Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"53";"0 Ohm";"R-EU_R0402";"R0402";"R1, R5, R7, R8, R13, R16, R20, R21, R22, R23, R24, R25, R38, R39, R40, R43, R44, R47, R48, R50, R55, R56, R57, R58, R59, R63, R101, R105, R106, R107, R108, R109, R110, R111, R115, R116, R117, R118, R119, R120, R121, R122, R123, R124, R125, R126, R127, R128, R129, R130, R131, R132, R133";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";
"5";"0.1 uF";"C-EUC0402K";"C0402K";"C67, C76, C77, C78, C81";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";"";"";"";"C";"";"";"";"";"";"";"";
"24";"0.1uF";"C-EUC0402K";"C0402K";"C1, C2, C4, C7, C8, C9, C10, C11, C12, C13, C32, C44, C45, C46, C47, C51, C56, C85, C88, C91, C92, C95, C96, C97";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";"";"";"";"C";"";"";"";"";"";"";"";
"21";"0.22uF";"C-EUC0402K";"C0402K";"C14, C17, C18, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C34, C35, C36, C40, C41, C42, C86";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";"";"";"";"C";"";"";"";"";"";"";"";
"3";"0402ESDA-MLP1";"0402ESDA-MLP1";"DIONC1105X44N";"D8, D9, D10";"ESD Suppressors / TVS Diodes PolySurg 0402 35V .05pF";"";"";"";"";"";"ESD Suppressors / TVS Diodes PolySurg 0402 35V .05pF";"";"";"";"";"";"";"";"0.436mm";"";"";"";"Eaton";"0402ESDA-MLP1";"";"";"";"";"";"504-0402ESDA-MLP1";"https://www.mouser.com/Search/Refine.aspx?Keyword=504-0402ESDA-MLP1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1.0 uF";"C-EUC0402K";"C0402K";"C68";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";"";"";"";"C";"";"";"";"";"";"";"";
"2";"1.0uF";"C-EUC0402K";"C0402K";"C15, C94";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";"";"";"";"C";"";"";"";"";"";"";"";
"3";"10 uF";"C-EUC0402K";"C0402K";"C65, C69, C82";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";"";"";"";"C";"";"";"";"";"";"";"";
